Latitude, Longitude
-868.508;-6.677.755
-897.228;-6.704.341
-693.478;-5.907.656
-693.342;-5.906.728
-684.438;-5.896.655
-684.298;-5.895.719
-68.373;-5.897.343
-683.593;-5.896.407
-683.456;-5.895.471
-681.718;-5.889.973
-675.064;-5.907.873
-674.927;-590.694
-665.778;-5.876.592
-658.297;-5.862.597
-340.658;-5.973.004
-356.229;-5.940.647
-352.419;-5.940.238
-34.157;-5.916.898
-341.426;-5.915.923
-300.929;-5.940.843
-297.558;-5.839.405
-291.156;-585.201
-289.097;-5.923.409
-283.074;-5.921.282
-282.853;-5.936.873
-281.929;-5.937.011
-427.887;-6.002.234
-427.755;-6.001.331
-427.093;-5.996.812
-426.993;-6.002.366
-426.861;-6.001.464
-411.342;-5.990.182
-396.722;-5.977.981
-391.634;-5.987.814
-391.501;-59.869
-38.882;-5.968.511
-386.015;-597.459
-385.879;-5.973.668
-385.112;-5.974.724
-384.976;-5.973.801
-419.777;-5.927.892
-394.761;-5.915.208
-394.617;-5.914.241
-375.058;-5.857.458
-374.598;-5.933.764
-374.458;-5.932.808
-372.979;-5.929.116
-372.839;-5.928.157
-372.171;-5.893.779
-364.584;-5.954.284
-744.525;-6.041.697
-736.479;-5.980.287
-705.938;-5.992.761
-704.389;-5.962.194
-704.257;-5.961.295
-681.904;-5.979.352
-675.802;-6.012.658
-669.966;-6.011.471
-669.837;-6.010.584
-668.951;-6.010.715
-663.742;-6.006.046
-663.612;-6.005.157
-663.482;-6.004.268
-65.647;-600.042
-653.427;-6.043.204
-715.669;-5.933.139
-713.826;-5.945.473
-712.713;-5.931.721
-70.522;-5.930.625
-705.086;-5.929.713
-703.512;-5.943.887
-703.379;-5.942.982
-701.188;-5.940.528
-701.053;-5.939.622
-700.649;-5.936.896
-700.428;-5.941.571
-700.293;-5.940.664
-700.158;-5.939.756
-700.024;-5.938.848
-699.889;-5.937.939
-694.162;-594.965
-694.028;-5.948.746
-690.737;-5.945.184
-689.975;-5.946.225
-689.843;-594.532
-677.594;-5.937.596
-67.746;-5.936.685
-676.698;-5.937.733
-676.563;-5.936.821
-67.054;-5.908.558
-670.401;-5.907.623
-669.424;-5.913.477
-347.692;-6.039.732
-284.997;-6.091.006
-284.869;-6.090.124
-623.779;-6.195.804
-585.304;-6.126.719
-584.584;-614.702
-581.626;-613.275
-581.615;-6.126.346
-575.607;-6.155.437
-574.711;-6.155.567
-574.582;-6.154.661
-795.727;-6.154.813
-795.595;-6.153.876
-791.922;-6.127.857
-791.792;-6.126.936
-79.113;-6.128.549
-790.997;-6.127.628
-780.686;-6.120.422
-780.554;-6.119.507
-771.818;-6.109.623
-821.494;-6.121.662
-813.872;-6.152.861
-810.442;-6.122.044
-80.221;-6.180.993
-504.789;-6.252.525
-50.465;-6.251.567
-378.437;-6.239.245
-378.304;-6.238.319
-633.404;-6.269.616
-627.855;-6.264.265
-626.559;-6.248.254
-625.491;-6.247.406
-761.774;-6.345.347
-697.163;-6.291.896
-0.76963;-629.066
-733.579;-6.466.608
-234.655;-6.644.758
-237.788;-6.666.827
-257.963;-6.707.043
-258.026;-6.706.664
-260.978;-6.689.896
-261.214;-6.689.118
-267.001;-6.680.279
-688.406;-6.633.554
